#curie_map:
#  icd10: https://icd.who.int/browse10/2019/en#/
#  mesh: https://meshb.nlm.nih.gov/record/ui?ui=
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#mapping_set_id: gilda_icd10_mesh_novel
#mapping_tool: gilda
subject_id	subject_label	predicate_id	object_id	object_label	confidence	mapping_justification	mapping_tool
icd10:C92.4	Acute promyelocytic leukaemia [PML]	skos:exactMatch	mesh:D015473	Leukemia, Promyelocytic, Acute	0.95	semapv:LexicalMatching	gilda
icd10:C96.6	Unifocal Langerhans-cell histiocytosis	skos:exactMatch	mesh:D004803	Eosinophilic Granuloma	0.95	semapv:LexicalMatching	gilda
icd10:D00-D09	In situ neoplasms	skos:exactMatch	mesh:D001913	Bowen's Disease	0.95	semapv:LexicalMatching	gilda
icd10:D28	Benign neoplasm of other and unspecified female genital organs	skos:exactMatch	mesh:D018256	Adenomatous Polyps	0.95	semapv:LexicalMatching	gilda
icd10:D39.0	Uterus	skos:exactMatch	mesh:D014599	Uterus	1.0	semapv:LexicalMatching	gilda
icd10:D44.8	Pluriglandular involvement	skos:exactMatch	mesh:D009377	Multiple Endocrine Neoplasia	0.95	semapv:LexicalMatching	gilda
icd10:D47.4	Osteomyelofibrosis	skos:exactMatch	mesh:D055728	Primary Myelofibrosis	0.95	semapv:LexicalMatching	gilda
icd10:D48.7	Other specified sites	skos:exactMatch	mesh:D006321	Heart	0.95	semapv:LexicalMatching	gilda
icd10:D50.1	Sideropenic dysphagia	skos:exactMatch	mesh:D011004	Plummer-Vinson Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:D55.0	Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency	skos:exactMatch	mesh:D005236	Favism	0.95	semapv:LexicalMatching	gilda
icd10:D61.0	Constitutional aplastic anaemia	skos:exactMatch	mesh:D029503	Anemia, Diamond-Blackfan	0.95	semapv:LexicalMatching	gilda
icd10:D65	Disseminated intravascular coagulation [defibrination syndrome]	skos:exactMatch	mesh:D004211	Disseminated Intravascular Coagulation	0.95	semapv:LexicalMatching	gilda
icd10:D67	Hereditary factor IX deficiency	skos:exactMatch	mesh:D002836	Hemophilia B	0.95	semapv:LexicalMatching	gilda
icd10:D68.2	Hereditary deficiency of other clotting factors	skos:exactMatch	mesh:D005166	Factor V Deficiency	0.95	semapv:LexicalMatching	gilda
icd10:D68.6	Other thrombophilia	skos:exactMatch	mesh:D016736	Antiphospholipid Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:D69.1	Qualitative platelet defects	skos:exactMatch	mesh:D055652	Gray Platelet Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:D72.8	Other specified disorders of white blood cells	skos:exactMatch	mesh:D007964	Leukocytosis	0.95	semapv:LexicalMatching	gilda
icd10:D76.3	Other histiocytosis syndromes	skos:exactMatch	mesh:D015618	Histiocytosis, Sinus	0.95	semapv:LexicalMatching	gilda
icd10:D82.1	Di George syndrome	skos:exactMatch	mesh:D004062	DiGeorge Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:E05.0	Thyrotoxicosis with diffuse goitre	skos:exactMatch	mesh:D006111	Graves Disease	0.95	semapv:LexicalMatching	gilda
icd10:E07.1	Dyshormogenetic goitre	skos:exactMatch	mesh:C536648	Pendred syndrome	0.95	semapv:LexicalMatching	gilda
icd10:E16.4	Abnormal secretion of gastrin	skos:exactMatch	mesh:D015043	Zollinger-Ellison Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:E25.0	Congenital adrenogenital disorders associated with enzyme deficiency	skos:exactMatch	mesh:C535979	Congenital adrenal hyperplasia due to 21 hydroxylase deficiency	0.95	semapv:LexicalMatching	gilda
icd10:E26.8	Other hyperaldosteronism	skos:exactMatch	mesh:D001477	Bartter Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:E27.4	Other and unspecified adrenocortical insufficiency	skos:exactMatch	mesh:D006994	Hypoaldosteronism	0.95	semapv:LexicalMatching	gilda
icd10:E34.8	Other specified endocrine disorders	skos:exactMatch	mesh:D011371	Progeria	0.95	semapv:LexicalMatching	gilda
icd10:E59	Dietary selenium deficiency	skos:exactMatch	mesh:C536166	Keshan disease	0.95	semapv:LexicalMatching	gilda
icd10:E66.2	Extreme obesity with alveolar hypoventilation	skos:exactMatch	mesh:D010845	Obesity Hypoventilation Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:E66.8	Other obesity	skos:exactMatch	mesh:D009767	Obesity, Morbid	0.95	semapv:LexicalMatching	gilda
icd10:E70.2	Disorders of tyrosine metabolism	skos:exactMatch	mesh:D000474	Alkaptonuria	0.95	semapv:LexicalMatching	gilda
icd10:E72.0	Disorders of amino-acid transport	skos:exactMatch	mesh:D003555	Cystinuria	0.95	semapv:LexicalMatching	gilda
icd10:E72.1	Disorders of sulfur-bearing amino-acid metabolism	skos:exactMatch	mesh:C535408	Gamma-cystathionase deficiency	0.95	semapv:LexicalMatching	gilda
icd10:E72.2	Disorders of urea cycle metabolism	skos:exactMatch	mesh:D056807	Argininosuccinic Aciduria	0.95	semapv:LexicalMatching	gilda
icd10:E74.1	Disorders of fructose metabolism	skos:exactMatch	mesh:D015319	Fructose-1,6-Diphosphatase Deficiency	0.95	semapv:LexicalMatching	gilda
icd10:E74.3	Other disorders of intestinal carbohydrate absorption	skos:exactMatch	mesh:C562602	Glucose-Galactose Malabsorption	0.95	semapv:LexicalMatching	gilda
icd10:E74.8	Other specified disorders of carbohydrate metabolism	skos:exactMatch	mesh:D006959	Hyperoxaluria	0.95	semapv:LexicalMatching	gilda
icd10:E75.2	Other sphingolipidosis	skos:exactMatch	mesh:D007966	Leukodystrophy, Metachromatic	0.95	semapv:LexicalMatching	gilda
icd10:E75.5	Other lipid storage disorders	skos:exactMatch	mesh:D015223	Wolman Disease	0.95	semapv:LexicalMatching	gilda
icd10:E76.2	Other mucopolysaccharidoses	skos:exactMatch	mesh:D016538	Mucopolysaccharidosis VII	0.95	semapv:LexicalMatching	gilda
icd10:E77.1	Defects in glycoprotein degradation	skos:exactMatch	mesh:D054880	Aspartylglucosaminuria	0.95	semapv:LexicalMatching	gilda
icd10:E78.6	Lipoprotein deficiency	skos:exactMatch	mesh:D007863	Lecithin Cholesterol Acyltransferase Deficiency	0.95	semapv:LexicalMatching	gilda
icd10:E79.1	Lesch-Nyhan syndrome	skos:exactMatch	mesh:D007926	Lesch-Nyhan Syndrome	1.0	semapv:LexicalMatching	gilda
icd10:E80.0	Hereditary erythropoietic porphyria	skos:exactMatch	mesh:D017092	Porphyria, Erythropoietic	0.95	semapv:LexicalMatching	gilda
icd10:E80.2	Other porphyria	skos:exactMatch	mesh:D046349	Coproporphyria, Hereditary	0.95	semapv:LexicalMatching	gilda
icd10:E80.6	Other disorders of bilirubin metabolism	skos:exactMatch	mesh:D007566	Jaundice, Chronic Idiopathic	0.95	semapv:LexicalMatching	gilda
icd10:E83.0	Disorders of copper metabolism	skos:exactMatch	mesh:D006527	Hepatolenticular Degeneration	0.95	semapv:LexicalMatching	gilda
icd10:E83.1	Disorders of iron metabolism	skos:exactMatch	mesh:D006432	Hemochromatosis	0.95	semapv:LexicalMatching	gilda
icd10:E83.2	Disorders of zinc metabolism	skos:exactMatch	mesh:C538178	Acrodermatitis enteropathica	0.95	semapv:LexicalMatching	gilda
icd10:E83.3	Disorders of phosphorus metabolism and phosphatases	skos:exactMatch	mesh:C562645	Acid Phosphatase Deficiency	0.95	semapv:LexicalMatching	gilda
icd10:E85.0	Non-neuropathic heredofamilial amyloidosis	skos:exactMatch	mesh:D010505	Familial Mediterranean Fever	0.95	semapv:LexicalMatching	gilda
icd10:E86	Volume depletion	skos:exactMatch	mesh:D003681	Dehydration	0.95	semapv:LexicalMatching	gilda
icd10:E88.8	Other specified metabolic disorders	skos:exactMatch	mesh:C536561	Trimethylaminuria	0.95	semapv:LexicalMatching	gilda
icd10:F05.8	Other delirium	skos:exactMatch	mesh:D000071257	Emergence Delirium	0.95	semapv:LexicalMatching	gilda
icd10:F21	Schizotypal disorder	skos:exactMatch	mesh:D012569	Schizotypal Personality Disorder	0.95	semapv:LexicalMatching	gilda
icd10:F22.0	Delusional disorder	skos:exactMatch	mesh:D010259	Paranoid Disorders	0.95	semapv:LexicalMatching	gilda
icd10:F24	Induced delusional disorder	skos:exactMatch	mesh:D012753	Shared Paranoid Disorder	0.95	semapv:LexicalMatching	gilda
icd10:F40.2	Specific (isolated) phobias	skos:exactMatch	mesh:C000719188	Acrophobia	0.95	semapv:LexicalMatching	gilda
icd10:F44	Dissociative [conversion] disorders	skos:exactMatch	mesh:D007046	Hysteria	0.95	semapv:LexicalMatching	gilda
icd10:F44.8	Other dissociative [conversion] disorders	skos:exactMatch	mesh:D009105	Dissociative Identity Disorder	0.95	semapv:LexicalMatching	gilda
icd10:F45.2	Hypochondriacal disorder	skos:exactMatch	mesh:D057215	Body Dysmorphic Disorders	0.95	semapv:LexicalMatching	gilda
icd10:F45.3	Somatoform autonomic dysfunction	skos:exactMatch	mesh:D009449	Neurocirculatory Asthenia	0.95	semapv:LexicalMatching	gilda
icd10:F48.8	Other specified neurotic disorders	skos:exactMatch	mesh:C000711649	dhat syndrome	0.95	semapv:LexicalMatching	gilda
icd10:F65	Disorders of sexual preference	skos:exactMatch	mesh:D010262	Paraphilic Disorders	0.95	semapv:LexicalMatching	gilda
icd10:F65.1	Fetishistic transvestism	skos:exactMatch	mesh:D014190	Transvestism	0.95	semapv:LexicalMatching	gilda
icd10:F65.5	Sadomasochism	skos:exactMatch	mesh:D008398	Masochism	0.95	semapv:LexicalMatching	gilda
icd10:F68.1	Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]	skos:exactMatch	mesh:D009110	Munchausen Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:F80.2	Receptive language disorder	skos:exactMatch	mesh:D001037	Aphasia	0.95	semapv:LexicalMatching	gilda
icd10:F84.0	Childhood autism	skos:exactMatch	mesh:D001321	Autistic Disorder	0.95	semapv:LexicalMatching	gilda
icd10:F93.8	Other childhood emotional disorders	skos:exactMatch	mesh:C000726808	general anxiety disorder	0.95	semapv:LexicalMatching	gilda
icd10:G04	Encephalitis, myelitis and encephalomyelitis	skos:exactMatch	mesh:D008590	Meningoencephalitis	0.95	semapv:LexicalMatching	gilda
icd10:G04.1	Human T-cell lymphotropic virus associated myelopathy	skos:exactMatch	mesh:D015493	Paraparesis, Tropical Spastic	0.95	semapv:LexicalMatching	gilda
icd10:G14	Postpolio syndrome	skos:exactMatch	mesh:D016262	Postpoliomyelitis Syndrome	1.0	semapv:LexicalMatching	gilda
icd10:G23.1	Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]	skos:exactMatch	mesh:D013494	Supranuclear Palsy, Progressive	0.95	semapv:LexicalMatching	gilda
icd10:G25.8	Other specified extrapyramidal and movement disorders	skos:exactMatch	mesh:D012148	Restless Legs Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:G31.0	Circumscribed brain atrophy	skos:exactMatch	mesh:D020774	Pick Disease of the Brain	0.95	semapv:LexicalMatching	gilda
icd10:G37.0	Diffuse sclerosis	skos:exactMatch	mesh:D002549	Diffuse Cerebral Sclerosis of Schilder	0.95	semapv:LexicalMatching	gilda
icd10:G40.4	Other generalized epilepsy and epileptic syndromes	skos:exactMatch	mesh:D013036	Spasms, Infantile	0.95	semapv:LexicalMatching	gilda
icd10:G43.8	Other migraine	skos:exactMatch	mesh:D060486	Ophthalmoplegic Migraine	0.95	semapv:LexicalMatching	gilda
icd10:G47.8	Other sleep disorders	skos:exactMatch	mesh:D017593	Kleine-Levin Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:G57.6	Lesion of plantar nerve	skos:exactMatch	mesh:D000070607	Morton Neuroma	0.95	semapv:LexicalMatching	gilda
icd10:H00.1	Chalazion	skos:exactMatch	mesh:D017043	Chalazion	1.0	semapv:LexicalMatching	gilda
icd10:H02.5	Other disorders affecting eyelid function	skos:exactMatch	mesh:D016569	Blepharophimosis	0.95	semapv:LexicalMatching	gilda
icd10:H04.1	Other disorders of lacrimal gland	skos:exactMatch	mesh:D015352	Dry Eye Syndromes	0.95	semapv:LexicalMatching	gilda
icd10:H18.4	Corneal degeneration	skos:exactMatch	mesh:D001112	Arcus Senilis	0.95	semapv:LexicalMatching	gilda
icd10:H18.6	Keratoconus	skos:exactMatch	mesh:D007640	Keratoconus	1.0	semapv:LexicalMatching	gilda
icd10:H19.3	Keratitis and keratoconjunctivitis in other diseases classified elsewhere	skos:exactMatch	mesh:D007638	Keratoconjunctivitis Sicca	0.95	semapv:LexicalMatching	gilda
icd10:H26.4	After-cataract	skos:exactMatch	mesh:D058442	Capsule Opacification	0.95	semapv:LexicalMatching	gilda
icd10:H30.2	Posterior cyclitis	skos:exactMatch	mesh:D015868	Pars Planitis	0.95	semapv:LexicalMatching	gilda
icd10:H31.2	Hereditary choroidal dystrophy	skos:exactMatch	mesh:D015794	Choroideremia	0.95	semapv:LexicalMatching	gilda
icd10:H35.2	Other proliferative retinopathy	skos:exactMatch	mesh:D018630	Vitreoretinopathy, Proliferative	0.95	semapv:LexicalMatching	gilda
icd10:H35.5	Hereditary retinal dystrophy	skos:exactMatch	mesh:D012174	Retinitis Pigmentosa	0.95	semapv:LexicalMatching	gilda
icd10:H35.7	Separation of retinal layers	skos:exactMatch	mesh:D056833	Central Serous Chorioretinopathy	0.95	semapv:LexicalMatching	gilda
icd10:H44.0	Purulent endophthalmitis	skos:exactMatch	mesh:D010202	Panophthalmitis	0.95	semapv:LexicalMatching	gilda
icd10:H44.1	Other endophthalmitis	skos:exactMatch	mesh:D009879	Ophthalmia, Sympathetic	0.95	semapv:LexicalMatching	gilda
icd10:H49.8	Other paralytic strabismus	skos:exactMatch	mesh:D007625	Kearns-Sayre Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:H50.4	Other and unspecified heterotropia	skos:exactMatch	mesh:C000721272	cyclotropia	0.95	semapv:LexicalMatching	gilda
icd10:H50.8	Other specified strabismus	skos:exactMatch	mesh:D004370	Duane Retraction Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:H53.1	Subjective visual disturbances	skos:exactMatch	mesh:D001248	Asthenopia	0.95	semapv:LexicalMatching	gilda
icd10:H83.3	Noise effects on inner ear	skos:exactMatch	mesh:D006317	Hearing Loss, Noise-Induced	0.95	semapv:LexicalMatching	gilda
icd10:H93.2	Other abnormal auditory perceptions	skos:exactMatch	mesh:D012001	Hyperacusis	0.95	semapv:LexicalMatching	gilda
icd10:I10	Essential (primary) hypertension	skos:exactMatch	mesh:D006973	Hypertension	0.95	semapv:LexicalMatching	gilda
icd10:I12	Hypertensive renal disease	skos:exactMatch	mesh:C563161	Hypertensive Nephropathy	0.95	semapv:LexicalMatching	gilda
icd10:I31.9	Disease of pericardium, unspecified	skos:exactMatch	mesh:D002305	Cardiac Tamponade	0.95	semapv:LexicalMatching	gilda
icd10:I45.5	Other specified heart block	skos:exactMatch	mesh:D012848	Sinoatrial Block	0.95	semapv:LexicalMatching	gilda
icd10:I45.9	Conduction disorder, unspecified	skos:exactMatch	mesh:D000219	Adams-Stokes Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:I49.4	Other and unspecified premature depolarization	skos:exactMatch	mesh:D005117	Cardiac Complexes, Premature	0.95	semapv:LexicalMatching	gilda
icd10:I49.8	Other specified cardiac arrhythmias	skos:exactMatch	mesh:D053840	Brugada Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:I73.8	Other specified peripheral vascular diseases	skos:exactMatch	mesh:D004916	Erythromelalgia	0.95	semapv:LexicalMatching	gilda
icd10:I73.9	Peripheral vascular disease, unspecified	skos:exactMatch	mesh:D007383	Intermittent Claudication	0.95	semapv:LexicalMatching	gilda
icd10:I74.0	Embolism and thrombosis of abdominal aorta	skos:exactMatch	mesh:D007925	Leriche Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:I78.0	Hereditary haemorrhagic telangiectasia	skos:exactMatch	mesh:D013683	Telangiectasia, Hereditary Hemorrhagic	0.95	semapv:LexicalMatching	gilda
icd10:I86.1	Scrotal varices	skos:exactMatch	mesh:D014646	Varicocele	0.95	semapv:LexicalMatching	gilda
icd10:J30.1	Allergic rhinitis due to pollen	skos:exactMatch	mesh:D006255	Rhinitis, Allergic, Seasonal	0.95	semapv:LexicalMatching	gilda
icd10:J61	Pneumoconiosis due to asbestos and other mineral fibres	skos:exactMatch	mesh:D001195	Asbestosis	0.95	semapv:LexicalMatching	gilda
icd10:J69.1	Pneumonitis due to oils and essences	skos:exactMatch	mesh:D011017	Pneumonia, Lipid	0.95	semapv:LexicalMatching	gilda
icd10:J70.0	Acute pulmonary manifestations due to radiation	skos:exactMatch	mesh:D017564	Radiation Pneumonitis	0.95	semapv:LexicalMatching	gilda
icd10:J84.0	Alveolar and parietoalveolar conditions	skos:exactMatch	mesh:C562405	Pulmonary Alveolar Microlithiasis	0.95	semapv:LexicalMatching	gilda
icd10:J84.1	Other interstitial pulmonary diseases with fibrosis	skos:exactMatch	mesh:D000080203	Hamman-Rich Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:J94.8	Other specified pleural conditions	skos:exactMatch	mesh:D006876	Hydrothorax	0.95	semapv:LexicalMatching	gilda
icd10:J98.1	Pulmonary collapse	skos:exactMatch	mesh:D001261	Pulmonary Atelectasis	0.95	semapv:LexicalMatching	gilda
icd10:J98.5	Diseases of mediastinum, not elsewhere classified	skos:exactMatch	mesh:D008480	Mediastinitis	0.95	semapv:LexicalMatching	gilda
icd10:K00.2	Abnormalities of size and form of teeth	skos:exactMatch	mesh:C000723629	enamel pearl	0.95	semapv:LexicalMatching	gilda
icd10:K05.2	Acute periodontitis	skos:exactMatch	mesh:D010508	Periodontal Abscess	0.95	semapv:LexicalMatching	gilda
icd10:K06.1	Gingival enlargement	skos:exactMatch	mesh:D005351	Fibromatosis, Gingival	0.95	semapv:LexicalMatching	gilda
icd10:K10.3	Alveolitis of jaws	skos:exactMatch	mesh:D004368	Dry Socket	0.95	semapv:LexicalMatching	gilda
icd10:K10.8	Other specified diseases of jaws	skos:exactMatch	mesh:D002636	Cherubism	0.95	semapv:LexicalMatching	gilda
icd10:K11.6	Mucocele of salivary gland	skos:exactMatch	mesh:D011900	Ranula	0.95	semapv:LexicalMatching	gilda
icd10:K11.7	Disturbances of salivary secretion	skos:exactMatch	mesh:D014987	Xerostomia	0.95	semapv:LexicalMatching	gilda
icd10:K11.8	Other diseases of salivary glands	skos:exactMatch	mesh:D008882	Mikulicz' Disease	0.95	semapv:LexicalMatching	gilda
icd10:K14.3	Hypertrophy of tongue papillae	skos:exactMatch	mesh:C538420	Black hairy tongue	0.95	semapv:LexicalMatching	gilda
icd10:K22.0	Achalasia of cardia	skos:exactMatch	mesh:D004931	Esophageal Achalasia	0.95	semapv:LexicalMatching	gilda
icd10:K22.6	Gastro-oesophageal laceration-haemorrhage syndrome	skos:exactMatch	mesh:D008309	Mallory-Weiss Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:K29.6	Other gastritis	skos:exactMatch	mesh:D005758	Gastritis, Hypertrophic	0.95	semapv:LexicalMatching	gilda
icd10:K31.8	Other specified diseases of stomach and duodenum	skos:exactMatch	mesh:D000126	Achlorhydria	0.95	semapv:LexicalMatching	gilda
icd10:K52.8	Other specified noninfective gastroenteritis and colitis	skos:exactMatch	mesh:D046729	Colitis, Collagenous	0.95	semapv:LexicalMatching	gilda
icd10:K59.3	Megacolon, not elsewhere classified	skos:exactMatch	mesh:D008532	Megacolon, Toxic	0.95	semapv:LexicalMatching	gilda
icd10:K90.0	Coeliac disease	skos:exactMatch	mesh:D002446	Celiac Disease	0.95	semapv:LexicalMatching	gilda
icd10:L02	Cutaneous abscess, furuncle and carbuncle	skos:exactMatch	mesh:D005667	Furunculosis	0.95	semapv:LexicalMatching	gilda
icd10:L03.0	Cellulitis of finger and toe	skos:exactMatch	mesh:D010304	Paronychia	0.95	semapv:LexicalMatching	gilda
icd10:L23.0	Allergic contact dermatitis due to metals	skos:exactMatch	mesh:D002857	Chromium	0.95	semapv:LexicalMatching	gilda
icd10:L23.5	Allergic contact dermatitis due to other chemical products	skos:exactMatch	mesh:D010969	Plastics	0.95	semapv:LexicalMatching	gilda
icd10:L44.1	Lichen nitidus	skos:exactMatch	mesh:D017513	Lichen Nitidus	1.0	semapv:LexicalMatching	gilda
icd10:L51.1	Bullous erythema multiforme	skos:exactMatch	mesh:D013262	Stevens-Johnson Syndrome	0.95	semapv:LexicalMatching	gilda
icd10:L71.1	Rhinophyma	skos:exactMatch	mesh:D012224	Rhinophyma	1.0	semapv:LexicalMatching	gilda
